"데이터직무별(1)","기술등급별(1)","시점",데이터산업 전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"데이터 아키텍트","계","2016",-,569,-,3213,499,455
"데이터 아키텍트","계","2017",-,618,-,3392,526,489
"데이터 아키텍트","계","2018",5901,806,4330,-,-,765
"데이터 아키텍트","계","2019",6508,1202,4355,-,-,952
"데이터 아키텍트","계","2020",7470,1588,4915,-,-,967
"데이터 아키텍트","계","2021",9329,2061,6044,-,-,1223
"데이터 개발자","계","2016",-,3835,-,12865,2106,8573
"데이터 개발자","계","2017",-,4429,-,13702,2188,8948
"데이터 개발자","계","2018",30022,4579,16302,-,-,9141
"데이터 개발자","계","2019",31330,4799,17092,-,-,9439
"데이터 개발자","계","2020",34085,5683,18173,-,-,10229
"데이터 개발자","계","2021",42128,7891,21858,-,-,12379
"데이터 엔지니어","계","2016",-,1380,-,6260,626,4398
"데이터 엔지니어","계","2017",-,1468,-,6529,696,4434
"데이터 엔지니어","계","2018",13731,1616,7528,-,-,4587
"데이터 엔지니어","계","2019",14592,1862,8035,-,-,4695
"데이터 엔지니어","계","2020",16450,2421,8780,-,-,5249
"데이터 엔지니어","계","2021",18964,3276,9866,-,-,5822
"데이터 분석가","계","2016",-,588,-,1513,304,2072
"데이터 분석가","계","2017",-,629,-,1638,335,2190
"데이터 분석가","계","2018",5820,892,2457,-,-,2471
"데이터 분석가","계","2019",6571,1039,2794,-,-,2737
"데이터 분석가","계","2020",7555,1292,3011,-,-,3251
"데이터 분석가","계","2021",9461,1519,3828,-,-,4113
"데이터베이스 관리자","계","2016",-,648,-,3536,333,6971
"데이터베이스 관리자","계","2017",-,702,-,3732,388,7029
"데이터베이스 관리자","계","2018",12615,842,4617,-,-,7156
"데이터베이스 관리자","계","2019",12928,1023,4644,-,-,7260
"데이터베이스 관리자","계","2020",15199,1409,6098,-,-,7692
"데이터베이스 관리자","계","2021",17706,1769,7736,-,-,8201
"데이터 과학자","계","2016",-,203,-,388,150,444
"데이터 과학자","계","2017",-,218,-,410,173,482
"데이터 과학자","계","2018",1285,218,581,-,-,486
"데이터 과학자","계","2019",1608,288,784,-,-,536
"데이터 과학자","계","2020",2421,540,1149,-,-,732
"데이터 과학자","계","2021",3027,762,1443,-,-,823
"데이터 컨설턴트","계","2016",-,1446,-,1292,1168,122
"데이터 컨설턴트","계","2017",-,1530,-,1376,1231,126
"데이터 컨설턴트","계","2018",5007,1736,2904,-,-,367
"데이터 컨설턴트","계","2019",5686,2076,3001,-,-,609
"데이터 컨설턴트","계","2020",6979,2265,3672,-,-,1042
"데이터 컨설턴트","계","2021",8979,2556,4856,-,-,1567
"데이터 기획자","계","2016",-,603,-,874,277,5545
"데이터 기획자","계","2017",-,697,-,914,286,5600
"데이터 기획자","계","2018",8242,852,1478,-,-,5912
"데이터 기획자","계","2019",9836,1177,2274,-,-,6384
"데이터 기획자","계","2020",11808,2075,2845,-,-,6889
"데이터 기획자","계","2021",12837,2289,3101,-,-,7447
